date,plate
10/5/2010,DNTBEMAD
10/5/2010,DOCSGT
10/5/2010,1FB299
10/5/2010,JTNICK
10/5/2010,1MAKO1
10/5/2010,JUDYTHE1
10/5/2010,DRCEO
10/5/2010,KAMARA1
10/5/2010,KAM371AN
10/5/2010,112SNT
10/5/2010,12JANET
10/5/2010,KDMORT1
10/5/2010,EGC42
10/5/2010,1971CJL
10/5/2010,ELG77
10/5/2010,ELITE077
10/5/2010,2CQVBS
10/5/2010,ELITE93
10/5/2010,EMJS12
10/5/2010,K1LLINIT
10/5/2010,223REM
10/5/2010,24JEFFGO
10/5/2010,LAXBOYS
10/5/2010,LA4EST7
10/5/2010,3B10
10/5/2010,LEARCAPT
10/5/2010,3KDZ4ME
10/5/2010,LILQTEE
10/5/2010,4JEHOVA
10/5/2010,LMPRO1
10/5/2010,LMPRO3
10/5/2010,LODGE911
10/5/2010,41WOODIE
10/5/2010,LPFAIRIE
10/5/2010,5WALLEYE
10/5/2010,LUVMYTL
10/5/2010,55RAGTP
10/5/2010,LVGRNMA
10/5/2010,550BEAST
10/5/2010,57CADLAK
10/5/2010,57DF
10/5/2010,63TJC
10/5/2010,65STNGRY
10/5/2010,7TL
10/5/2010,8DDS43
10/5/2010,MEB08
10/5/2010,82X
10/5/2010,MELBILL2
10/5/2010,84FUEGO
10/5/2010,MINIME8
10/5/2010,MJGSRIDE
10/5/2010,MMARRA
10/5/2010,MOMSRIDE
10/5/2010,MPAND3
10/5/2010,MRMIKEB
10/5/2010,MRSKYWY
10/5/2010,MYLOS
10/5/2010,NCRSLOL
10/5/2010,NEGRO63
10/5/2010,NUZZICE
10/5/2010,NUZZICE2
10/5/2010,NY92
10/5/2010,OJTDAD
10/5/2010,OM
10/5/2010,ONAMBIT
10/5/2010,ONEHOTG
10/5/2010,PHOEBE07
10/5/2010,PIRSQD
10/5/2010,PJTEN
10/5/2010,PMSJAG
10/5/2010,POMPOM1
10/5/2010,PONY4
10/5/2010,P1AYTING
10/5/2010,RADHEMI
10/5/2010,RALPH98
10/5/2010,RCYCLDVW
10/5/2010,REA11Y
10/5/2010,REIKI
10/5/2010,RICKYBR
10/5/2010,ROKMC66
10/5/2010,ROMEO70
10/5/2010,ROMO9
10/5/2010,SANIN03
10/5/2010,SARGPEPR
10/5/2010,SBHPREK
10/5/2010,SCOTBOY
10/5/2010,SHAGGY
10/5/2010,SHATTY
10/6/2010,SHVLED
10/6/2010,TMFB2
10/6/2010,AF2O
10/6/2010,GAMMY7
10/6/2010,TES2
10/6/2010,GLNYS
10/6/2010,TRUNY
10/6/2010,CISCO
10/6/2010,IJETSI
10/6/2010,YASMIN
10/6/2010,K2PMT
10/6/2010,MAYAH1
10/6/2010,NYFT
10/6/2010,NYSGL
10/6/2010,N2XHB
10/6/2010,PS67K
10/6/2010,RIPCMM
10/6/2010,AEIMPY
10/6/2010,E1SH
10/6/2010,SLOBARU
10/6/2010,ALARMBIZ
10/6/2010,ALLINN
10/6/2010,AMK11
10/6/2010,FEJNGL44
10/6/2010,STALAN5
10/6/2010,FIRSTRAX
10/6/2010,FITCHIKK
10/6/2010,ARROWS2
10/6/2010,FONG1
10/6/2010,SUNFLOWR
10/6/2010,AV8RSR8
10/6/2010,AWSMSON
10/6/2010,A05
10/6/2010,A8887
10/6/2010,GALILEO
10/6/2010,BAYRAT
10/6/2010,GEORGES1
10/6/2010,GGHESQ
10/6/2010,THDOODLE
10/6/2010,THIALINA
10/6/2010,TJTJ
10/6/2010,BIOYA
10/6/2010,BIRDMANN
10/6/2010,BKSLATE
10/6/2010,BLAKCROS
10/6/2010,BLMEDOWN
10/6/2010,GRENFOWL
10/6/2010,GRFD25
10/6/2010,TRAMPART
10/6/2010,BONAROOO
10/6/2010,TVLAND
10/6/2010,UC411
10/6/2010,HEFFRON
10/6/2010,HEPCATS
10/6/2010,HJKDDS
10/6/2010,UW1LLOSE
10/6/2010,VCTYNJES
10/6/2010,HOOOKERR
10/6/2010,VINTNER
10/6/2010,CEEJAYZ
10/6/2010,CGASDA
10/6/2010,V8BAIT
10/6/2010,IFISHVT
10/6/2010,CITOMIMI
10/6/2010,CLIMBER1
10/6/2010,WELNES4U
10/6/2010,CMRGHR
10/6/2010,IMJF16
10/6/2010,WINDNYC
10/6/2010,ISABEL56
10/6/2010,CSL342
10/6/2010,I300CI
10/6/2010,CWEST
10/6/2010,DADLUVYA
10/6/2010,JAYNE1
10/6/2010,DANGEL01
10/6/2010,JEROR
10/6/2010,DDSKIDS
10/6/2010,JIMS66
10/6/2010,DEVOE1
10/6/2010,ZMDBZ
10/6/2010,ZORADORA
10/6/2010,DIBRAN
10/6/2010,JONY99
10/6/2010,1BADBOB
10/6/2010,DMJ87GN
10/6/2010,DNM0823
10/6/2010,JPM829
10/6/2010,1EFA
10/6/2010,1FINE35
10/6/2010,1GR8G8
10/6/2010,DOORMAKR
10/6/2010,1MOT1ME
10/6/2010,DRACONS
10/6/2010,1STDAD09
10/6/2010,JZQW3
10/6/2010,KADIJOY
10/6/2010,DUHUNTR
10/6/2010,KAR120
10/6/2010,KATHY9
10/6/2010,KD11422
10/6/2010,EARSK9
10/6/2010,1983Z28
10/6/2010,EMSRIDE
10/6/2010,2PLUS4KD
10/6/2010,K9CRSR
10/6/2010,4EVRSAIL
10/6/2010,4JTNME
10/6/2010,LUVHARLY
10/6/2010,6BLKICE6
10/6/2010,6ISH
10/6/2010,MAKEMORE
10/6/2010,MASAGEU
10/6/2010,MEANDEZ
10/6/2010,MEINZ57
10/6/2010,942NCP
10/6/2010,MNG6
10/6/2010,MOVIEGOR
10/6/2010,MRMSDJ
10/6/2010,MRSLS
10/6/2010,MYSPARKS
10/6/2010,NAUTIBYZ
10/6/2010,NIVRAG
10/6/2010,NOT2SLO
10/6/2010,NOVO18
10/6/2010,OLDAYS
10/6/2010,PAUCAS
10/6/2010,PAULZA
10/6/2010,PENNY31
10/6/2010,PER
10/6/2010,PHILDOM
10/6/2010,PITUS
10/6/2010,PLL1
10/6/2010,PMATICS
10/6/2010,POPPETT
10/6/2010,QRS111
10/6/2010,RJM43
10/6/2010,ROCBOX
10/6/2010,RODDYJ
10/6/2010,ROG55
10/6/2010,RSS1996
10/6/2010,SEWBEEIT
10/6/2010,SHOPPOP
10/6/2010,8KNG
10/6/2010,FR9999
10/6/2010,JLAUTO
10/6/2010,M1KEG
10/7/2010,ACURE
10/7/2010,FEARME
10/7/2010,GALENO
10/7/2010,GZNUTZ
10/7/2010,CARMO1
10/7/2010,15EU20
10/7/2010,SHOSHO
10/7/2010,EREYES
10/7/2010,BET
10/7/2010,HANK20
10/7/2010,VSZN4B
10/7/2010,JRBUSA
10/7/2010,D1RECT
10/7/2010,KE3NAN
10/7/2010,KIR1
10/7/2010,KWNCHG
10/7/2010,LEONEL
10/7/2010,LIFEX2
10/7/2010,4VINNY
10/7/2010,L2R
10/7/2010,MSZMZM
10/7/2010,MX37
10/7/2010,
10/7/2010,NUPRTS
10/7/2010,N2
10/7/2010,RBC
10/7/2010,SB101
10/7/2010,SCS5
10/7/2010,SCS6
10/7/2010,SEAYUH
10/7/2010,ACIM
10/7/2010,ADEADF
10/7/2010,SKIJPEAK
10/7/2010,EZ454
10/7/2010,SMR
10/7/2010,ALL96STR
10/7/2010,ALOISO
10/7/2010,FAF
10/7/2010,SPADEZE
10/7/2010,SPAGZ4
10/7/2010,AMCTBIRD
10/7/2010,AMIAAKI
10/7/2010,AMIRAMS
10/7/2010,FCS561
10/7/2010,SSG555
10/7/2010,FIGHTMD
10/7/2010,STARRJOY
10/7/2010,ARTIST7
10/7/2010,ASURFER
10/7/2010,SWEETART
10/7/2010,SYABRI
10/7/2010,BAD51CHV
10/7/2010,S1CK335
10/7/2010,BAYVIL2
10/7/2010,GEENEEK
10/7/2010,GEM51
10/7/2010,BEACHAJ
10/7/2010,GKF60
10/7/2010,BIGBOY87
10/7/2010,BIGMOMA
10/7/2010,GOATSVW
10/7/2010,BIGRICK3
10/7/2010,TJR
10/7/2010,BIPOLSKI
10/7/2010,TODOBOOC
10/7/2010,GRAMSX5
10/7/2010,TOWKEHT
10/7/2010,TPETION4
10/7/2010,TRE13
10/7/2010,GR8CFOOD
10/7/2010,BREMEN27
10/7/2010,BUGZ1LLA
10/7/2010,HIGHYOAG
10/7/2010,CADI55
10/7/2010,CCDIII
10/7/2010,CFCA1897
10/7/2010,VONLEXX
10/7/2010,CHASARM
10/7/2010,CHINSTR8
10/7/2010,IAMHUGE
10/7/2010,CHUBBY42
10/7/2010,CLORINDA
10/7/2010,COBURG
10/7/2010,COWBOY27
10/7/2010,IREPIC
10/7/2010,ISELCADI
10/7/2010,CSHORE
10/7/2010,JAXXY
10/7/2010,YANKES46
10/7/2010,DATTY3
10/7/2010,YNKELVR
10/7/2010,DBLYELO
10/7/2010,DHMETS
10/7/2010,JM6
10/7/2010,JNASTY
10/7/2010,DITTING
10/7/2010,JOG4LIFE
10/7/2010,JOVANI
10/7/2010,DOM100
10/7/2010,DOM13
10/7/2010,DOM230
10/7/2010,DOM300
10/7/2010,DOM310
10/7/2010,DOM62
10/7/2010,DOM63
10/7/2010,DOM777
10/7/2010,DOM78
10/7/2010,1KC
10/7/2010,DOOWORK
10/7/2010,DOT57
10/7/2010,JTONE
10/7/2010,1MJ
10/7/2010,DRUMMER
10/7/2010,1VISIONS
10/7/2010,DSI75
10/7/2010,10LH
10/7/2010,DW1688
10/7/2010,EASY39
10/7/2010,KEE404
10/7/2010,KENO1
10/7/2010,ELITE58
10/7/2010,2UJEAN
10/7/2010,LCL15OE
10/7/2010,LEWCIFER
10/7/2010,LGGESQ
10/7/2010,3615AMB
10/7/2010,4EVER2SA
10/7/2010,4MAGGIO
10/7/2010,4PANI
10/7/2010,4YANKEES
10/7/2010,LULURN
10/7/2010,MAHALO2
10/7/2010,65BUS
10/7/2010,MAILMOM
10/7/2010,MAPSALES
10/7/2010,7SAMIRA7
10/7/2010,MAY313
10/7/2010,74GRAND
10/7/2010,74TARJAR
10/7/2010,MBHAVEN
10/7/2010,MENAUNT
10/7/2010,888LOH
10/7/2010,MINNDAVE
10/7/2010,MNT2BEE
10/7/2010,MOEBETA
10/7/2010,MONKEES
10/7/2010,MOTION70
10/7/2010,MRS2THDR
10/7/2010,MSFLIP
10/7/2010,NOT2DAY
10/7/2010,NSXR
10/7/2010,NVRGVEUP
10/7/2010,NYCTBUS
10/7/2010,NYDD2
10/7/2010,OGDIZZEL
10/7/2010,OLDSEVEN
10/7/2010,OMYHKBH
10/7/2010,ONLYNBLK
10/7/2010,ORAAPPS
10/7/2010,PHANTYM
10/7/2010,PIKNSTIK
10/7/2010,PRE0963
10/7/2010,QTRMLRNR
10/7/2010,RON8N
10/7/2010,ROT944
10/7/2010,RV191
10/7/2010,SEHMEEN
10/7/2010,SETHREED
10/7/2010,LAURE1
10/8/2010,SPY4ND
10/8/2010,SXN8
10/8/2010,44GC09
10/8/2010,SEKTN8
10/8/2010,GANJAN
10/8/2010,TXMSG
10/8/2010,USWWII
10/8/2010,IH8MUD
10/8/2010,X82ND
10/8/2010,YTRY2
10/8/2010,ZMAN10
10/8/2010,DGC959
10/8/2010,DMZ68
10/8/2010,JSF68
10/8/2010,JUAN23
10/8/2010,10TOO8
10/8/2010,4RKDZ
10/8/2010,SEADAN
10/8/2010,SIMRAYAN
10/8/2010,EYEDONOR
10/8/2010,FABFORD
10/8/2010,FAB4BTLS
10/8/2010,ANDIEBUG
10/8/2010,ANGELAD
10/8/2010,ARCHSTU
10/8/2010,SUREWIN
10/8/2010,A68PONY
10/8/2010,BADONIAN
10/8/2010,F1T4ME
10/8/2010,S77777S
10/8/2010,GETACLUE
10/8/2010,TFCATER
10/8/2010,BENNY36
10/8/2010,BENZBUNY
10/8/2010,THEIXXI
10/8/2010,GLENN52
10/8/2010,BHALLA2
10/8/2010,GNHORNT
10/8/2010,TINATARA
10/8/2010,BILLEP
10/8/2010,GOJO
10/8/2010,GOT2FLOW
10/8/2010,GOT2LAFF
10/8/2010,GR8CAMP
10/8/2010,BOOMPAPA
10/8/2010,BRAYNE1
10/8/2010,GWH
10/8/2010,BR1DAL
10/8/2010,UNA
10/8/2010,UNBREKBL
10/8/2010,UNCLSAL
10/8/2010,UNIONS1
10/8/2010,BURCHY
10/8/2010,HHCM
10/8/2010,IBELEEV
10/8/2010,IBGR8FL
10/8/2010,WCHYWMN
10/8/2010,WHATAJAG
10/8/2010,WHEC33
10/8/2010,WHNPOST
10/8/2010,INTA150
10/8/2010,CRU2
10/8/2010,XBADABNG
10/8/2010,XCOCOX
10/8/2010,CYCLNE
10/8/2010,C2PAINTS
10/8/2010,YEAABRO
10/8/2010,DDYSGRLZ
10/8/2010,JG45
10/8/2010,JHC8818
10/8/2010,JKWJW
10/8/2010,JOECOOL5
10/8/2010,DMCONST
10/8/2010,JRCPAJD
10/8/2010,JRC3888
10/8/2010,JSQUAD
10/8/2010,1H907
10/8/2010,JTRX2
10/8/2010,DRTAB
10/8/2010,12929PM
10/8/2010,EDRO1
10/8/2010,KGJAMES
10/8/2010,1962TBRD
10/8/2010,KLC13
10/8/2010,KMZISVR
10/8/2010,2TIM17
10/8/2010,LEGEND29
10/8/2010,LIBERTA
10/8/2010,343KHT
10/8/2010,4NORWAY
10/8/2010,LOCAL3
10/8/2010,LOCAL417
10/8/2010,LOGICIAN
10/8/2010,LUV4CMX3
10/8/2010,MARCMLLP
10/8/2010,7A74
10/8/2010,MC4
10/8/2010,MEI1688
10/8/2010,87TTYP
10/8/2010,909LBY
10/8/2010,MILRGRL1
10/8/2010,MTDESERT
10/8/2010,MXTUNDRA
10/8/2010,NASIOC
10/8/2010,NOZMBIES
10/8/2010,NYY16
10/8/2010,OFJ777
10/8/2010,ORSOGNA
10/8/2010,PENGW1NS
10/8/2010,PHD68
10/8/2010,POOFIT2
10/8/2010,PRNC1PSA
10/8/2010,RAIDERS4
10/8/2010,RDP64
10/8/2010,REDSLADY
10/8/2010,RIPRAH
10/8/2010,ROCNDOC
10/8/2010,SHAINAW
10/8/2010,SHEPS50
10/8/2010,VALE5
10/9/2010,EVILR6
10/9/2010,TU250X
10/9/2010,XDUDEX
10/9/2010,LTOR
10/9/2010,L1V2RD
10/9/2010,OSOLVD
10/9/2010,R1DEON
10/9/2010,SICKSS
10/9/2010,AMR186
10/9/2010,FEDUN
10/9/2010,TEN24
10/9/2010,BE11A
10/9/2010,BIGOX
10/9/2010,GRWNT1
10/9/2010,BRZRKR
10/9/2010,USACID
10/9/2010,WAKE
10/9/2010,INTELL
10/9/2010,XJETSX
10/9/2010,XOXO94
10/9/2010,KC2ODL
10/9/2010,172INT
10/9/2010,EMJDB
10/9/2010,86TF69
10/9/2010,MWFS1
10/9/2010,NICAJ
10/9/2010,N1CE1
10/9/2010,PAVG
10/9/2010,POP28
10/9/2010,RESLNT
10/9/2010,RFG10
10/9/2010,AAANYC
10/9/2010,ABOSS302
10/9/2010,AFGCPA
10/9/2010,ALK888
10/9/2010,SOULSIS
10/9/2010,SPNGEBOB
10/9/2010,SPORTCUB
10/9/2010,AMYSDAD
10/9/2010,FBRF4
10/9/2010,ANGLSNIC
10/9/2010,FGW
10/9/2010,APRUTIUM
10/9/2010,ARGOMGMT
10/9/2010,STRYV2XL
10/9/2010,SUEBARZ
10/9/2010,SUNFLWR4
10/9/2010,FORTYONE
10/9/2010,SUVSKPOD
10/9/2010,AZ1Z
10/9/2010,SWITZ3
10/9/2010,FTSGRC
10/9/2010,BBBBBBAD
10/9/2010,BELLARUS
10/9/2010,GODOT
10/9/2010,GOISRAEL
10/9/2010,BKPONY
10/9/2010,TOMIC9
10/9/2010,BLUECUBE
10/9/2010,TOYPULLR
10/9/2010,GROSE4
10/9/2010,TREYPHAN
10/9/2010,GR8WHITE
10/9/2010,GSG180
10/9/2010,TRUXTIME
10/9/2010,GUZLNGAS
10/9/2010,BRONX11
10/9/2010,HANKSNOW
10/9/2010,BUGGIRL
10/9/2010,BUGNVASN
10/9/2010,BUS4GUS
10/9/2010,HILYFVRD
10/9/2010,HISFAVOR
10/9/2010,CAMOGURL
