plate,status,category,reviewer_comments,review_reason_code,customer_meaning
MTN SCAT,Rejected,Vulgar or degrading term,SCAT SHIT,2,MOUNTAIN SCAT PACK
OAK KLAN,Rejected,Vulgar or degrading term,KLAN,2,CITY I GREW UP IN.
PORKS15,Rejected,Misrepresents law enforcement,PORKS PIG,5,NO MICRO AVAILABLE
POT POM,Rejected,Vulgar or degrading term,POT,2,NO MICRO AVAILABLE
PSYCDVA,Rejected,Sexual connotation,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHIC,1,PSYCHOLOGIST DIVA
PSYKD,Rejected,Sexual connotation,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHED,1,PSYCHED
ROBO 911,Rejected,Misrepresents law enforcement,911 EMERGENCY,5,ROBO IS MY NICK NAME AND 911 FOR THE CAR ITS GOING ON
SHTYMNI,Rejected,Vulgar or degrading term,SHITTY MINI,2,SHORTY MINI
1MONGO,Rejected,Vulgar or degrading term,LOOKS LIKE MONGOL THE MOTORCYCLE GANG,2,OUR SON'S NICKNAME IS MONGO. IT'S FOR HIS FIRST CAR.
173D82D,Accepted,Vulgar or degrading term,CAN NOT TRANSLATE,2,NO MICRO AVAILABLE
67 PINK,Rejected,Sexual connotation,PINK,1,NO MICRO AVAILABLE
707IRON,Rejected,Vulgar or degrading term,707 AREA CODE,2,WEIGHT TRAINING REFERENCE SONOMA COUNTY
MI HYNA,Rejected,Vulgar or degrading term,GANGSTER GIRL OR CHOLA,2,NO MICRO AVAILABLE
DAD$PP,Rejected,Vulgar or degrading term,PP AS IN URINE,2,MY DAD LOVES ME AND GOT ME A NEW CAR
GAMMI$G,Accepted,Vulgar or degrading term,G AS IN GANGSTER,2,GRANDMA GOOLSBY
G$DSKK,Accepted,Vulgar or degrading term,G AS IN GANGSTER,2,GRAM LOVES DOMINIC SOPHIE KAILANI KEANU. MY GRANDKIDS
FN2IB7,Rejected,Vulgar or degrading term,LOOKS LIKE EFFIN,2,FN2187 IS A STAR WARS CHARACTER AND I AM A VETERAN
CAN BITE,Rejected,Sexual connotation,CAN BITE,1,NO MICRO AVAILABLE
FRESD18,Rejected,Vulgar or degrading term,18 HITLER,2,NO MICRO AVAILABLE
KILLAHB,Rejected,Vulgar or degrading term,KILLAH B,2,LOVE THE MOVIE
KILLAHW,Rejected,Vulgar or degrading term,KILLA,2,LOVE THE MOVIE
NO GAS X,Accepted,Vulgar or degrading term,GAS,2,ALL ELECTRIC CAR MODEL X
TTNISMO,Accepted,Vulgar or degrading term,TT AS IN BREAST,2,TWIN TURBO NISMO
1FD MOM,Rejected,Sexual connotation,FD LOOKS LIKE EFFED,1,ONE FIRE DEPARTMENT MOM
88 VERT,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,1988 CONVERTIBLE
HB 707,Rejected,Vulgar or degrading term,707 AREA CODE,2,MOTORCYCLE CLUB
ELIKA13,Rejected,Vulgar or degrading term,13 GANG REFERENCE,2,ERIC IN HAWAIIAN AND LUCKY NUMBER
BAD FN68,Rejected,Swear word or profane,BAD FUCKIN 68,3,BAD FUN 68
BRUJO 13,Rejected,"Foreign, slang, or phonetic",13-GANG,7,BACK IN HIGH SCHOOL MY NICKNAME WAS BRUJO AND MY FAVORITE NUMBER IS 13
C4 MILES,Rejected,"Foreign, slang, or phonetic",SEE FOR MILES… C4-BOMB,7,SEE FOR MILES
DAAFAK,Rejected,Swear word or profane,THE FUCK,3,MY SON'S NAME
DATT ASS,Rejected,Sexual connotation,THAT ASS,1,POINTING OUT HOW GOOD THE REAR END OF MY CAR LOOKS
DNKY PCH,Rejected,Sexual connotation,DONKEY PUNCH,1,DOWN COUNTRY PUNCH IS A DRINK THAT MY FAMILY MAKES AND IS KNOWN FOR
FCUK BOI,Rejected,Swear word or profane,FUCK BOY,3,FANBOY FOR FRENCH CONNECTION AND DESIGNER APPAREL
F OMG,Rejected,Swear word or profane,FUCK OH MY GOD,3,DAUGHTERS INITIALS
FSH BALL,Rejected,Sexual connotation,FISH… BALL… SOME SORT OF SEXUAL?,1,FISH BALL
GUN4HYR,Rejected,"Foreign, slang, or phonetic",GUN FOR HIRE,7,A CONSTRUCTION WORKER THAT FOLLOWS THE MONEY AND JUMPS FROM COMPANY TO COMPANY
LCPSY18,Rejected,Negative connotation to group,18-HITLER,4,FIST AND LAST INITIAL OF NAME. PSYCHOLOGY PROFESSOR
LILBLKB,Rejected,"Foreign, slang, or phonetic",LIL BLACK BITCH? LAST NAME IS BLACK,7,LITTLE BLACK BEE
LYFISHT,Rejected,Swear word or profane,LIFE IS SHIT,3,LIFE IS SHORT
MZ MOLY,Rejected,"Foreign, slang, or phonetic",MOLLY…. ECSTASY,7,THIS IS MY CARS NAME. SHE IS A 38 YEAR OLD STRAWBERRY BLONDE GIRL. MOLY
NAVA 14,Rejected,Negative connotation to group,14-HITLER,4,NAME BIRTHDAY
OG PLAY,Rejected,"Foreign, slang, or phonetic",OG,7,CHILDHOOD NICKNAME
OG RICE,Rejected,"Foreign, slang, or phonetic",OG,7,OLD GUARD RICE
OPNWIDE,Rejected,Sexual connotation,"SEXUAL? OPEN LEGS, OPEN MOUTH?",1,REFERS TO MY PROFESSIONAL LINE OF WORK AS A DENTIST
OR DX,Rejected,Sexual connotation,OR DICKS,1,OREGON DUCKS
OVOGANG,Rejected,"Foreign, slang, or phonetic",GANG,7,AN ATRISTS MOTO. HE REFERS TO HIS FANS AS GANG MEANING FAMILY
RAJO42O,Rejected,"Foreign, slang, or phonetic",420-WEED,7,NAME MONTH DAY CAME TO AMERICA
RJ X 88,Rejected,Negative connotation to group,88-HITLER,4,MY ENGLISH FIRST NAME AND YEAR OF BIRTH
RMBO562,Rejected,"Foreign, slang, or phonetic",562 CUSTOMERS AREA CODE,7,RAMBO IS MY NICKNAME FROM WHEN IW AS A CHILD. EVERYONE KNOWS ME AS RAMBO. 562 IS MY AREA CODE FROM LONG BEACH
ROAK14,Rejected,Negative connotation to group,14-HITLER,4,FIST INITIAL FOR FAMILY MEMBERS
RSPEC13,Rejected,"Foreign, slang, or phonetic",13-GANG,7,CAR MODEL AND YEAR
UBRS 51O,Rejected,"Foreign, slang, or phonetic",510 CA AREA CODE,7,UBER IS MY INTERNET LOG ON AND 510 IS THE MODEL OF MY CAR
VTARDED,Rejected,Negative connotation to group,TARDED… RETARDED?,4,CADILLAC MODEL CTS-V. VERY FAST
YBEAZZY,Rejected,Swear word or profane,BEEZY. BITCH,3,NICKNAME
YR ONE69,Rejected,Sexual connotation,COULDN'T VERIFY 1969,1,YEAR OF MY 1969 CAMARO
1LOWPIG,Rejected,Negative connotation to group,PIG,4,"THIS LICENSE PLATE WILL BE PLACED ON A DAILY DRIVEN SHOW TRUCK NAMED ""THE RED PIG"" USED FOR SHOW COVERAGE AND MAGAZINE PURPOSES"
2BUCK U,Rejected,Swear word or profane,TO FUCK YOU? BUCK YOU-HIT YOU?,3,I WENT TO SAN JOSE STATE. MY SON DID NOT WANT TO GO TO A STATE SCHOOL. HE WENT TO TCU. HE CALLED MY COLLEGE TWO BUCK U.
619 BSBL,Rejected,"Foreign, slang, or phonetic",619 CA AREA CODE,7,"619 IS THE AREA CODE OF SAN DIEGO, AND BSBL STANDS FOR BASEBALL. THIS PLATE IS REPRESENTING THE SAN DIEGO PADRES, A PRO BASEBALL TEAM."
69TRIKE,Rejected,Sexual connotation,COULDN'T VERIFY 1969,1,1969 TRICYCLE
13$GRAM,Rejected,"Foreign, slang, or phonetic",13-GANG,7,13 GRANDCHILDREN LOVE THEIR GRANDMA
GIGGEDY,Rejected,Sexual connotation,INNUENDO,1,"FAMILY GUY, QUAGMIRE ALWAYS SAYS GIGGITY GUE"
H84BY4Z,Rejected,"Foreign, slang, or phonetic",HATE,7,"I HATE 4X4 VEHICLES. SATIRE, AS I WILL BE PUTTING THIS PLATE ON A 4 WHEEL DRIVE TRUCK"
MRDRVAN,Rejected,"Foreign, slang, or phonetic",MURDER VAN,7,MISTER DOCTOR VAN
TOPNUGS,Rejected,"Foreign, slang, or phonetic",NUGS-WEED,7,TOP NUGS. TOP BRAINS. MY TWIN DAUGHTERS ARE TOP STUDENTS IN THEIR CLASS.
U 2 HIGH,Rejected,"Foreign, slang, or phonetic",ON DRUGS?,7,MY CAR IS LOWERED SO OTHER PEOPLES CARS ARE WAY HIGHER THAN MINE
2BG NUGZ,Rejected,"Foreign, slang, or phonetic",NUGS-WEED,7,TWO BIG NUGS. TWO BIG BRAINS. MY TWIN DAUGHTERS BOTH SKIPPED 8TH GRADE.
BBONGCO,Rejected,"Foreign, slang, or phonetic",BONG IS SOMETHING YOU SMOKE MARIJUANA IN,7,NO MICRO
F1OO183,Rejected,"Foreign, slang, or phonetic",OLD PLACARD NUMBER,7,NO MICRO
RBN 88,Rejected,"Foreign, slang, or phonetic",88-HITLER RELATED,7,NO MICRO
REDLYNE,Accepted,"Foreign, slang, or phonetic",RED GANG COLOR,7,NO MICRO
14 FLEX,Rejected,"Foreign, slang, or phonetic",14-HITLER RELATED. NO 2014,7,NO MICRO
69CRZIN,Rejected,Sexual connotation,NO 69 CAR,1,NO MICRO
IH8IED,Rejected,"Foreign, slang, or phonetic",HATE-? IED-IMPROVISED EXPLOSIVE DEVICE. VET PLATE,7,NO MICRO
CRPLHLR,Rejected,Vulgar or degrading term,CRIPPLE HEALER?,2,NO MICRO
CRPPL4X,Rejected,Vulgar or degrading term,CRIPPLE? SAME GUY AS ABOVE,2,NO MICRO
FISH HRD,Rejected,Sexual connotation,HARD?,1,NO MICRO
A QUIKI,Rejected,Sexual connotation,"A QUICKY, SEX",1,A FAST MINI COOPER
BTCNBLK,Rejected,Swear word or profane,BITCHIN BLACK,3,NICKNAME FOR CAR
GAZ1969,Rejected,"Foreign, slang, or phonetic",NO 1969 VEHICLE,7,NO MICRO
HAWT DAM,Rejected,Swear word or profane,HOT DAMN,3,NO MICRO
LDYNBLU,Accepted,Swear word or profane,LADY IN BLUE. GANG COLORS?,3,NO MICRO
MH8SH18,Rejected,Vulgar or degrading term,18-HITLER,2,INITIALS OFM ICHELLE AND SYDNEY AND THEIR FAVORITE NUMBERS
STFUDNY,Rejected,Swear word or profane,SHUT THE FUCK UP,3,STOP FEAR UNCERTAINTY AND DOUBT IN THE NEW YEAR
TINAS 7O,Rejected,"Foreign, slang, or phonetic",COULDN'T VERIFY TINA OR A 1970 VEHICLE,7,NAME IS TINA. GOING ON A 197O BRONCO
WUSUP B,Rejected,Swear word or profane,WHATS UP BITCH. CUSTOMER IS BRIAN,3,WHATS UP BRIAN
HILDA14,Rejected,Vulgar or degrading term,14-HITLER,2,NO MICRO
FAT NUT,Rejected,Sexual connotation,LARGE EJACULATION,1,FAT NUT
BITZPLZ,Rejected,Swear word or profane,BITCH PLEASE,3,"BITE'S PLEASE, BECAUSE I LOVE TO EAT ALL DIFFERENT KINDS OF FOOD AND TRY NEW THINGS."
CLNASFK,Rejected,Swear word or profane,CLEAN AS FUCK,3,CLEAN AS FREAK
HUNTMOM,Rejected,"Foreign, slang, or phonetic",HUNT MOM. HUNTER'S MOM?,7,I AM HUNTER'S MOTHER
NOTARY G,Rejected,"Foreign, slang, or phonetic",G,7,NO MICRO
WHS 18,Rejected,Vulgar or degrading term,18-HITLER,2,WALNUT HIGH CLASS OF 2018
WTF BYE,Rejected,Swear word or profane,WHAT THE FUCK.,3,BYE BYE BRO
FUMONEY,Rejected,Swear word or profane,FUCK YOU MONEY,3,FUN MONEY
BUTCH B,Rejected,Swear word or profane,LOOKS LIKE BUTCH BITCH,3,
D JERK,Rejected,Vulgar or degrading term,LOOKS LIKE DA JERK,2,MY WIFE CALLS ME THAT ITS MY NICK NAME
FUNKLFE,Accepted,Swear word or profane,LOOKS LIKE FUCK LIFE,3,A TYPE OF MUSIC THAT ONE HAS GROWN UP WITH AND STILL FOLLOWS
GABECAT,Rejected,Sexual connotation,"NO VEHICLE SHOWN IN ANI FOR HELLCAT, OR JAG ETC",1,GABRIEL CATHY
HEMICYD,Rejected,Vulgar or degrading term,LOOKS LIKE HOMICIDE,2,
HIGHBOI,Rejected,Vulgar or degrading term,LOOKS LIKE HIGH AS IN ON DRUGS,2,
LH 562,Rejected,Vulgar or degrading term,562 AREA CODE,2,
LUV VAN,Rejected,Sexual connotation,LOVE  VAN CAN BE A VAN USED FOR SEX,1,
N5A1BOT,Rejected,Vulgar or degrading term,510 AREA CODE,2,VIDEO GAME REFERENCE
OG HCAT,Rejected,Sexual connotation,OG AS IN ORIGINAL GANGSTER,1,ORIGINAL HELLCAT
OTLAW 1,Rejected,Vulgar or degrading term,OUTLAW AS IN GANGSTER,2,OUTLAW 1
OUTHOUS,Accepted,Vulgar or degrading term,AN OUT HOUSE IS USED FOR USING THE RESTROOM,2,OUT HOUSE - FOR RV
SAABNUT,Rejected,Sexual connotation,SAAB NUT.. SAAB IS A CAR NUT CAN BE SEXUAL OR CAN MEAN CRAZY,1,CRAZZY ABOUT SAAB BRAND CARS
SIX5O,Accepted,Vulgar or degrading term,650 AREA CODE,2,650 BMW
SIX6XI,Accepted,Vulgar or degrading term,666 MARK OF THE BEAST THE DEVIL EVIL,2,
STR8 KLS,Rejected,Vulgar or degrading term,STRAIGHT KILLS,2,
SUPR POO,Rejected,Vulgar or degrading term,SUPER POO,2,
XO1OHO,Rejected,Sexual connotation,HO LOOKS LIKE HOE,1,NO MEANING
1DOPE S5,Accepted,Vulgar or degrading term,DOPE COULD MEAN NICE OR BE A DRUG REFERENCE,2,ITS A COOL AUDI S5
4O8RD8R,Rejected,Vulgar or degrading term,408 RAIDER,2,THE LICENSE PLATE SIGNIFIES MY HOMETOWN SAN JOSE AND MY FAVORITE NFL TEAM THE RAIDERS.
5HUNWYS,Accepted,Vulgar or degrading term,500 HUNDRED WAYS,2,500 WAYS
6 X TREE,Rejected,Vulgar or degrading term,LOOKS LIKE 6 X3=18 = HITLER REFERENCE OR 666 MARK OF THE BEAST,2,
7O7 PLUS,Accepted,Vulgar or degrading term,707 AREA CODE,2,707 HORSEPOWER PLUS A LITTLE MORE
8 USC 8,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,UNIVERSITY OF SOUTHERN CALIFORNIA
GAYMUR,Accepted,Negative connotation to group,LOOKS LIKE HE IS SAYING GAMER BUT HE IS USING GAY.. COULD BE TAKEN OFFENSIVLY,4,AM A GAY MAN WHO LOVES PLAYING VIDEO GAMES (GAY GAYMER)
MF$TGAR,Rejected,Swear word or profane,MF LOOKS LIKE MOTHER FUCKER,3,PLATE HOLDER'S INITIALS AND THE ACRONYM FOR TWO GIRLS ANIMAL RESCUE (WHICH SHE IS CO-FOUNDER)
$R TOES,Accepted,Sexual connotation,LOVE HER TOES,1,LOVE HER TOES
14$ETTA,Rejected,Vulgar or degrading term,14 GANG REFERENCE NO 2014 ON RECORD,2,
HDST76O,Rejected,Vulgar or degrading term,760 AREA CODE,2,HIGH DESERT 760
H8TZRS,Rejected,Vulgar or degrading term,H8 LOOKS LIKE HATE,2,HATE TEASERS
PLBY73,Rejected,Sexual connotation,"PLAYBOY… PLAYBOY IS A SEX MAGAZINE HOWEVER THE ""PLAYBOY"" HAS A RETENTION RECORD",1,PLAYBOY EMPLOYEE HIRED IN 1973
BUNTA F,Rejected,Sexual connotation,ANAL RAPE PER URBAN DICTIONARY,1,"SHORT FOR ""BUNTA FUJIWARA"" A FICTIONAL CHARACTER"
G DOG,Rejected,Vulgar or degrading term,G AS IN GANGSTER,2,NICK NAME
IYAOYAS,Rejected,Negative connotation to group,IF YOU AINT ORDINANCE YOU AINT SHIT.. A MILITARY TERM,4,"IF YOU AIN'T ORDNANCE, YOU AIN'T SPECIAL. (IT'S A USMC ACRONYM.)"
KISNKUZ,Rejected,Sexual connotation,KISSING COUSINS,1,KISSING BECAUSE
LJEFFE,Rejected,Vulgar or degrading term,EL JEFE THE BOSS,2,NICKNAME FOR VEHICLE
OG SWAG,Rejected,Vulgar or degrading term,ORIGINAL GANGSTER SWAG,2,ORIGINAL STYLE
PULLN 14,Accepted,Vulgar or degrading term,14 CUSTOMER DOES HAVE A 2014 GMC,2,
REDROCK,Accepted,Vulgar or degrading term,RED,2,THE COLOR OF THE CAR
SHAFFED,Rejected,Sexual connotation,"CUSTOMER LAST NAME IS SHAFFER, BUT SHAFT IS ANOTHER WORD FOR PENIS",1,"MY LAST NAME AND I LIKE TO DO MY OWN CAR WORK AND WORK ON OTHERS CARS ""YOU GOT SHAFFED"""
SHZAKLA,Rejected,Vulgar or degrading term,SHE'S A KILLA,2,SHEZAKILLA
UHL CURSE,Rejected,Vulgar or degrading term,YOULL CURSE,2,
2 BLUE IZ,Accepted,Vulgar or degrading term,BLUE,2,TO BLUE EYES
OG RIDE,Rejected,Vulgar or degrading term,ORIGINAL GANGSTER RIDE,2,OLD GUY MOTERCYCLE
AKK47,Rejected,Vulgar or degrading term,LOOKS LIKE AK 47 AS IN GUN,2,"MY INITIALS PLUS MY TWO LUCKY NUMBERS, WHICH HAPPEN TO SOUND LIKE A NICE GUN I LIKE."
BGD W211,Rejected,Vulgar or degrading term,211 AS IN ROBBERY,2,AIRMATIC AND MERCEDES BENZ MODEL NUMBER
BJ GRND,Rejected,Sexual connotation,BJ GRIND.  BLOW JOB GRIND IS A SEXUAL REFERENCE,1,NAME OF COMPANY - BJ GRINDING INC
DGAFLOL,Rejected,Vulgar or degrading term,DON’T GIVA A FUCK LAUGH OUT LOUD,2,I WORK WITH DEGAFFREY'S LAW ASSOCIATE
DGAF247,Rejected,Vulgar or degrading term,DON’T GIVE A FUCK 24/7,2,ITS MINE AND MY HUSBANDS INITIALS AND THE DATE WE WERE MARRIED. ITS VERY SENTIMENTAL TO US.
GMS 14,Rejected,Negative connotation to group,14 GANG REFERENCE,4,BUSINESS NAME
JESSBOX,Rejected,Sexual connotation,BOX,1,NICKNAME
KAT KOCH,Rejected,Sexual connotation,CAT COACH,1,NAME OF A PERSON NAME = KAT (KATHARINA) LAST NAME = KOCH
LARA 8O5,Rejected,Negative connotation to group,805 AREA CODE,4,
LIL515O,Accepted,Negative connotation to group,5150 CRAZY,4,JUST A LITTLE WILD AND FUN PERSON
MOCHOMO,Rejected,Vulgar or degrading term,"MEXICAN DRUG LORD ""THE DESSERT ANT""",2,ANT SPECIES
MY7OCUT,Accepted,Sexual connotation,CUT COULD MEAN CUTLASS OR CUT IS A SEXUAL REFERENCE,1,MY 1970 CUTLASS
NECIA 88,Rejected,Negative connotation to group,88 HITLER REFERENCE,4,IT MEANS STUBBORN AND THE YEAR I WAS BORN
OFFCR HI,Rejected,Misrepresents law enforcement,HI OFFICER,5,"GIVING A FRIENDLY GESTURE, NOTHING BAD"
OLD BS,Rejected,Swear word or profane,BS BULL SHIT,3,THE TRUCK IS THE LAST YEAR OF THE OLD BODY STYLE FORDS.
POOPELL,Rejected,Vulgar or degrading term,POOP,2,THIS IS A NICKNAME THAT MY LATE GRANDFATHER USED TO CALL ME. IT HAS GREAT PERSONAL MEANING TO ME.
PZA TACO,Rejected,Sexual connotation,TACO,1,MY TWO FAVORITE THINGS PIZZA AND TACOS
RICH KAT,Rejected,Sexual connotation,RICH CAT.. EXPENSIVE CAT,1,RICH AND KAT
SHUFTSH,Accepted,Sexual connotation,SHOE FETISH,1,SHOE FETISH
TERCA88,Rejected,Negative connotation to group,88 HITLER REFERENCE,4,IT MEANS STUBBORN AND THE YEAR I WAS BORN
THUGLYG,Rejected,Vulgar or degrading term,THE UGLY F.. NOT SURE WHAT THE F MEANS,2,
WOR HORS,Rejected,Sexual connotation,WAR WHORES.. WORK HORSE,1,
WSIXVTY,Rejected,Negative connotation to group,LOOKS LIKE 650 AREA CODE,4,
YYMAN 69,Rejected,Sexual connotation,MAN 69,1,XXX
ZEROFCK,Rejected,Swear word or profane,O FUCKS,3,IM A 9 GAGGER AND A ENTHUSIAST OF CARS. I CAN SAY CARS ARE PRETTY MUCH MY LIFE RIGHT NOW.
13 N144E,Rejected,Negative connotation to group,13 GANG REFERENCE,4,COORDINATES OF MY BIRTHPLACE (GUAM)
3KS N 1E,Rejected,Negative connotation to group,3KS LOOKS LIKE KKK,4,
8 BZI 8,Rejected,Negative connotation to group,88 HITLER REFERENCE,4,MY NAME
8DIAZ13,Rejected,Negative connotation to group,13 GANG REFERENCE,4,DIAZ IS MY LAST NAME AND THE NUMBERS ARE THE BIRTH DATES OF MY KIDS
88JOY88,Rejected,Negative connotation to group,HITLER REFERENCE,4,8 IS ONE OF MY FAVORITE/LUCKY NUMBERS AND JOY IS MY NAME
AIRS$FT,Rejected,Vulgar or degrading term,AIRSOFT SHOOTING,2,AIRSOFT SPORT WE LOVE
I$MYAR,Rejected,Vulgar or degrading term,I LOVE MY AR AR RIFLE,2,I LOVE MY ALPHA RAMEO
VAGIN$R,Rejected,Sexual connotation,VAGINA LOVER,1,"MY FAVORITE DRINK IS BOWMAN'S VIRGINIA GIN (VA) FOR VIRGINIA AND GIN FOR GIN, SO THIS PLATE WOULD BE READ ""VIRGINIA GIN LOVER"""
3&14 PI,Rejected,Negative connotation to group,PIE 14 GANG REFERENCE,4,THE FIRST 3 DIGITS OF PI
HYDR,Rejected,Vulgar or degrading term,HYDR HYDRAULICS OR HYDROPONICS,2,HYDRO
RMPSSI,Rejected,Sexual connotation,PSSI LOOKS LIKE PUSSY,1,COMPANY NAME
AHHBLUE,Accepted,Negative connotation to group,BLUE,4,BLUE WAS THE NICKNAME GIVEN TO ME BY MY FATHER GROWING UP
BENDEJO,Rejected,"Foreign, slang, or phonetic",PENDEJO CURESE WORD IN SPANISH,7,SPANGLISH SLANG FOR VILLAGE IDIOT
BYTE ME2,Accepted,Vulgar or degrading term,BITE ME TOO,2,"BYTE ME TWO, MATCHING SPOUSE'S PLATES"
COJONIS,Rejected,"Foreign, slang, or phonetic",THIS LOOKS LIKE THE SPANISH WORK COJONES,7,IT MEANS COURAGE
EXCON,Rejected,Vulgar or degrading term,EX CON,2,XCON
GTSGTFO,Rejected,Swear word or profane,GTFO GET THE FUCK  OUT,3,GLOBAL TECHNOLOGY SOLUTIONS GROUP FINANCE OFFICER
ISISCAR,Rejected,Vulgar or degrading term,ISIS CAR,2,
PSI DOC,Rejected,Sexual connotation,PUSSY DOCTOR,1,PRO SPORTS INSTITUTE DOCTOR
S14 97,Rejected,Negative connotation to group,14 GANG REFERENCE,4,
TN7,Rejected,Vulgar or degrading term,LOOKS LIKE TNT,2,NAME OF OUR RANCH 10-7
URDUNN4,Rejected,Vulgar or degrading term,YOURE DONE FOR,2,LAST NAME IS DUN AND WE ARE A FAMILY OF FOUR
3100 BLK,Rejected,Negative connotation to group,3100 BLOCK,4,3100 BLOCK
BLUSHRK,Accepted,Negative connotation to group,BLUE,4,BLUE HARLEY
GOFUKIT,Rejected,Swear word or profane,GO FUCK IT,3,FOR MOTORCYCLE
CHRG4PS,Rejected,Sexual connotation,LOOKS LIKE CHARGE FOR PS… NOT SURE WHAT PS MEANS,1,CHARGE FOR PEACE
BLK88BZ,Rejected,Vulgar or degrading term,88-HITLER. BIRTH YEAR VERIFIED AS '88,2,NICKNAME AND BIRTH YEAR
BUIOO13,Rejected,Vulgar or degrading term,13-GANG,2,NO MEANING
ENOX 13,Rejected,Vulgar or degrading term,13-GANG,2,MY NAME AND UNION NUMBER
HRSHT66,Rejected,Swear word or profane,HER SHIT '66,3,NO MICRO
IBD88,Rejected,Vulgar or degrading term,88-HITLER. INITIALS VERIFIED,2,MY INITIALS AND LUCKY YEAR
KB 88 RV,Rejected,Vulgar or degrading term,88-HITLER,2,NO MICRO
M 65O V,Rejected,"Foreign, slang, or phonetic",CUSTOMERS MOUNTAIN VIEW AREA CODE,7,NO MICRO
PDCC42O,Rejected,"Foreign, slang, or phonetic",420- WEED,7,NO MICRO
87O,Rejected,"Foreign, slang, or phonetic",A TYPE OF REMINGTON GUN,7,HISTORIC DATE
BDAZTKR,Rejected,Swear word or profane,BADASS TRUCKER,3,ONE GREAT TRUCK DRIVER
HLNAUSS,Rejected,Swear word or profane,HAULIN ASS,3,IM HAULING AUSS (AN AUSTRALIAN SHEPHERD- MY DOG'S BREED)
S14 BLK,Accepted,Vulgar or degrading term,14-HITLER,2,NO MICRO
88 CAB,Accepted,Vulgar or degrading term,88-HITLER. HAS AN '88 PORSCHE,2,1988 PORSCHE CABRIOLET
AENIMA,Rejected,Swear word or profane,CUSTOMER MEANING IS TRUE BUT LOOKS AND SOUNDS LIKE ENEMA,3,THE ROCK BAND TOOL'S SECOND ALBUM TITLE  FROM 1996
ALDRG59,Accepted,Swear word or profane,ALL DRUG (CUSTOMER LAST NAME IS ALLDREDGE),3,ALLDREDGE 1959
AMFZB24,Rejected,Swear word or profane,AMF=ADIOS MOTHERFUCKER,3,"IT'S MY NAME, JASON, ENCODED TO BASE64. I JUST WANT THE BLACK AND YELLOW PLATE SO THAT'S WHAT I CAME UP WITH."
BADBASS,Rejected,Sexual connotation,BASS OR ASS,1,NICK NAME
